b_0,b_1,b_2,b_3,theta_00,theta_01,theta_02,theta_03,theta_10,theta_11,theta_12,theta_13,theta_20,theta_21,theta_22,theta_23,theta_30,theta_31,theta_32,theta_33,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_02,sigma_sqrd_03,sigma_sqrd_10,sigma_sqrd_11,sigma_sqrd_12,sigma_sqrd_13,sigma_sqrd_20,sigma_sqrd_21,sigma_sqrd_22,sigma_sqrd_23,sigma_sqrd_30,sigma_sqrd_31,sigma_sqrd_32,sigma_sqrd_33
-0.03699533342675067,0.9400806599564179,1.9909530503124078,3.118150425922307,0.39638284542661056,0.20319406646924948,0.18857111639136762,0.2049748368978701,0.20319406646924948,0.5052070417651596,0.2963134847823584,0.29877983803752817,0.18857111639136762,0.2963134847823584,0.5975310447882175,0.3946336604336376,0.2049748368978701,0.29877983803752817,0.3946336604336376,0.6811200745628717,1.0204342969103084,0.0,0.0,0.0,0.0,0.06514542705699096,-0.0,0.0,0.0,-0.0,0.9955021030008683,0.0,0.0,0.0,0.0,0.22945286897125788
-0.008345383729880026,1.0183835623027344,1.9200954237597243,3.063546814234394,0.40074000893929174,0.2092809667253756,0.2051641785133416,0.21473038024132282,0.2092809667253756,0.5175670574498921,0.3137120606665875,0.31691603000856367,0.2051641785133416,0.3137120606665875,0.6073391632441993,0.40970596534515696,0.21473038024132282,0.31691603000856367,0.40970596534515696,0.7103001310989759,1.0097667902624314,0.0,0.0,0.0,0.0,0.06490836213905447,0.0,0.0,0.0,0.0,0.9919098708896302,-0.0,0.0,0.0,-0.0,0.22732893374040924
-0.015046128227575537,1.02085751122226,2.2572619893390984,2.725326559913496,0.40990649125810985,0.19746344858425333,0.18458773366625086,0.19673668172626657,0.19746344858425333,0.5090810295151051,0.3046605633321802,0.3085251473062401,0.18458773366625086,0.3046605633321802,0.6121990440928523,0.38912287640342175,0.19673668172626657,0.3085251473062401,0.38912287640342175,0.7002450304813954,1.0123982076648104,0.0,0.0,0.0,0.0,0.06408871296736042,0.0,0.0,0.0,0.0,0.9961312745042623,-0.0,0.0,0.0,-0.0,0.22967090097369217
0.013350524505154377,1.0493936231710617,1.8140851237565534,3.094995863186243,0.3975719491903303,0.19505568916757293,0.18961349797373686,0.1909882055362202,0.19505568916757293,0.5025926640179805,0.30244290881158037,0.30226420337537097,0.18961349797373686,0.30244290881158037,0.5947341096373473,0.3786882612901972,0.1909882055362202,0.30226420337537097,0.3786882612901972,0.6786145882724675,1.0135126742309537,0.0,0.0,0.0,0.0,0.06467749267466805,-0.0,0.0,0.0,-0.0,0.9927632100358098,-0.0,0.0,0.0,-0.0,0.23021634782172465
-0.020215899125117773,1.0409633584712312,2.0585598312804763,2.9157474186822365,0.3925606267047104,0.2097247865335965,0.2055109020239036,0.19722753350700023,0.2097247865335965,0.5270475884906785,0.3092357705478488,0.31395685370458615,0.2055109020239036,0.3092357705478488,0.6063889834652403,0.41066975525230687,0.19722753350700023,0.31395685370458615,0.41066975525230687,0.7357515370585064,1.0045356664913552,0.0,0.0,0.0,0.0,0.06464599133041103,0.0,0.0,0.0,0.0,0.9867533295731231,-0.0,0.0,0.0,-0.0,0.2301725427177951
0.010035162563093532,1.0034008190694577,1.9940747440595041,2.990998234986621,0.39397478131966956,0.20259338517263742,0.193086669531112,0.20311893812799664,0.20259338517263742,0.5175440489729178,0.3095769357699667,0.30381365899571716,0.193086669531112,0.3095769357699667,0.606017557927863,0.3776544902871516,0.20311893812799664,0.30381365899571716,0.3776544902871516,0.6616433160727574,1.0067255642902806,0.0,0.0,0.0,0.0,0.06472043718879468,-0.0,0.0,0.0,-0.0,0.9906117688422864,-0.0,0.0,0.0,-0.0,0.22721973605352655
-0.03233170357510743,0.9600685748452047,2.1974913232937237,2.8653305870612757,0.4015911523445824,0.2071506790349567,0.20282347562808536,0.19968111488255066,0.2071506790349567,0.5262637463027836,0.3134812122351711,0.30911676707452945,0.20282347562808536,0.3134812122351711,0.6101875479093911,0.3989208250291557,0.19968111488255066,0.30911676707452945,0.3989208250291557,0.7016142603218687,1.0187196574253565,0.0,0.0,0.0,0.0,0.06493760829111679,0.0,0.0,0.0,0.0,1.0000397548637283,-0.0,0.0,0.0,-0.0,0.22659266503360936
-0.004553084716216122,0.9696507854441053,2.05255542688143,2.986423140746487,0.4207430445904062,0.21050358845478445,0.22078591397167466,0.2115879765824896,0.21050358845478445,0.5145722130070268,0.3064735876087875,0.3136415579123476,0.22078591397167466,0.3064735876087875,0.6178142446331558,0.4108698403728915,0.2115879765824896,0.3136415579123476,0.4108698403728915,0.7512493310857935,1.009174439617755,0.0,0.0,0.0,0.0,0.06456597686966606,0.0,0.0,0.0,0.0,0.9933965753261654,-0.0,0.0,0.0,-0.0,0.22673058552038083
0.050117419347882546,1.0487114219073077,2.1543417469221473,2.7316766408982414,0.41485672166791776,0.20341228287305227,0.18926805532322755,0.17863685204045734,0.20341228287305227,0.5398942382202673,0.3175908813080677,0.3197827348226231,0.18926805532322755,0.3175908813080677,0.5901198870723456,0.37287370122255,0.17863685204045734,0.3197827348226231,0.37287370122255,0.6581739093166455,1.019415695314296,0.0,0.0,0.0,0.0,0.06505460888064972,0.0,0.0,0.0,0.0,0.9977235985740572,-0.0,0.0,0.0,-0.0,0.2308815192807432
-0.003838475898331017,0.9721177611434229,1.897146293443572,3.1467330427888296,0.383063902063142,0.1930996649177295,0.19784501063870447,0.19569731511700575,0.1930996649177295,0.5099716886069556,0.2982063009256921,0.305684593159799,0.19784501063870447,0.2982063009256921,0.596368569022273,0.39733063400696694,0.19569731511700575,0.305684593159799,0.39733063400696694,0.6884291907404201,1.0127507841200347,0.0,0.0,0.0,0.0,0.06447413634716861,0.0,0.0,0.0,0.0,0.9957101452785627,-0.0,0.0,0.0,-0.0,0.2317466050727873
0.008013437761326334,1.0096991996018454,2.407404324616472,2.5861325590998314,0.4087409444369417,0.2074758560008978,0.20990971898250121,0.21979755036307475,0.2074758560008978,0.5146200042366699,0.30112886887766,0.3046683250893385,0.20990971898250121,0.30112886887766,0.6114614548847506,0.41200378815059946,0.21979755036307475,0.3046683250893385,0.41200378815059946,0.7328503139860962,1.0143106619512723,0.0,0.0,0.0,0.0,0.06523805806494996,0.0,0.0,0.0,0.0,1.0032824424898479,-0.0,0.0,0.0,-0.0,0.22959850864309833
-0.02341579224704044,1.0727203196835735,1.8806929175946245,3.040166852149626,0.39318242207993276,0.20082313204286517,0.21962166450015846,0.21875155098685017,0.20082313204286517,0.5014412637840981,0.29078980694608214,0.2941827195905453,0.21962166450015846,0.29078980694608214,0.6049864946824296,0.3949793799565253,0.21875155098685017,0.2941827195905453,0.3949793799565253,0.6882476338732899,1.0092419518957672,0.0,0.0,0.0,0.0,0.06485882996125639,0.0,0.0,0.0,0.0,0.9868862212262224,-0.0,0.0,0.0,-0.0,0.22935479505612658
